region,subregion_or_country,type_geo,country_province_or_state,deaths,month,day,date_ihme_prod
EUROPE,Northern Europe,country,Sweden,NA,09,21,2020_06_08
EUROPE,Northern Europe,country,United Kingdom,NA,09,21,2020_06_08
EUROPE,Southern Europe,country,Italy,NA,09,21,2020_06_08
EUROPE,Southern Europe,country,Spain,NA,09,21,2020_06_08
EUROPE,Western Europe,country,Belgium,NA,09,21,2020_06_08
EUROPE,Western Europe,country,France,NA,09,21,2020_06_08
EUROPE,Western Europe,country,Germany,NA,09,21,2020_06_08
EUROPE,Western Europe,country,Netherlands,NA,09,21,2020_06_08
EUROPE,Western Europe,country,Switzerland,NA,09,21,2020_06_08
NORTHERN AMERICA,NORTHERN AMERICA,country,Canada,NA,08,24,2020_06_08
NORTHERN AMERICA,NORTHERN AMERICA,country,United States of America,169890.4,10,01,2020_06_08
NORTHERN AMERICA,United States of America,state_province,California,8820.755,10,01,2020_06_08
NORTHERN AMERICA,United States of America,state_province,Connecticut,4264.211,10,01,2020_06_08
NORTHERN AMERICA,United States of America,state_province,Illinois,7461.988,10,01,2020_06_08
NORTHERN AMERICA,United States of America,state_province,Louisiana,3472.977,10,01,2020_06_08
NORTHERN AMERICA,United States of America,state_province,Massachusetts,8104.202,10,01,2020_06_08
NORTHERN AMERICA,United States of America,state_province,Michigan,8770.658,10,01,2020_06_08
NORTHERN AMERICA,United States of America,state_province,New Jersey,13177.42,10,01,2020_06_08
NORTHERN AMERICA,United States of America,state_province,New York,32309.69,10,01,2020_06_08
NORTHERN AMERICA,United States of America,state_province,Pennsylvania,7164.366,10,01,2020_06_08
